province,city,lat,lng,population,population_proper
Nunavut,Baker Lake,64.316667,-96.016667,1584,1584
Nunavut,Pond Inlet,72.7,-78,1549,1549
Quebec,Cap-Chat,49.083333,-66.683333,1484,1466
Nunavut,Cambridge Bay,69.116667,-105.033333,1477,1477
Ontario,Thessalon,46.25,-83.55,1464,1369
British Columbia,New Bella Bella,52.166667,-128.133333,1400,1400
Ontario,Cobalt,47.383333,-79.683333,1372,1372
Nunavut,Cape Dorset,64.233333,-76.55,1326,1326
Nunavut,Pangnirtung,66.133333,-65.75,1320,1320
Yukon,West Dawson,64.066667,-139.45,1319,1319
Nunavut,Kugluktuk,67.833333,-115.083333,1302,1302
Ontario,Geraldton,49.716667,-86.966667,1290,1290
Manitoba,Gillam,56.35,-94.7,1281,1281
Quebec,Kuujjuaq,58.1,-68.4,1273,1273
Alberta,Lake Louise,51.433333,-116.183333,1248,1248
Ontario,Nipigon,49.016667,-88.25,1204,1204
Newfoundland and Labrador,Nain,56.55,-61.683333,1151,1151
Nunavut,Gjoa Haven,68.633333,-95.916667,1109,1109
Northwest Territories,Fort McPherson,67.433333,-134.866667,1069,1069
Newfoundland and Labrador,Argentia,47.3,-54,1063,1063
Northwest Territories,Norman Wells,65.283333,-126.85,1027,273
Manitoba,Churchill,58.766667,-94.166667,1000,923
Nunavut,Repulse Bay,66.516667,-86.233333,1000,748
Northwest Territories,Tuktoyaktuk,69.45,-133.066667,929,870
Manitoba,Berens River,52.366667,-97.033333,892,153
Manitoba,Shamattawa,55.85,-92.083333,870,870
Nova Scotia,Baddeck,46.1,-60.75,852,852
Nunavut,Coral Harbour,64.133333,-83.166667,834,834
Newfoundland and Labrador,La Scie,49.966667,-55.583333,817,817
Yukon,Watson Lake,60.116667,-128.8,802,802
Nunavut,Taloyoak,69.533333,-93.533333,774,774
Quebec,Natashquan,50.183333,-61.816667,722,722
Newfoundland and Labrador,Buchans,48.816667,-56.866667,685,685
Nunavut,Hall Beach,68.766667,-81.2,654,654
Nunavut,Arctic Bay,73.033333,-85.166667,604,604
Northwest Territories,Fort Good Hope,66.266667,-128.633333,597,597
Quebec,Mingan,50.3,-64.016667,588,588
Quebec,Kangirsuk,60.016667,-70.033333,549,549
British Columbia,Sandspit,53.239111,-131.818769,538,538
Northwest Territories,Deline,65.183333,-123.416667,525,262
Northwest Territories,Fort Smith,60,-111.883333,518,518
Newfoundland and Labrador,Cartwright,53.7,-57.016667,505,505
